FID,barcode,dwg_desig,type,light_type,capitol_ar,location_d,luminaire_,bulb_qty,watts,luminaire1,luminair_1,luminair_2,pole_color,height_ft,luminair_3,equipment_,Latitude,Longitude,pepco_no,inst_date,prev_paint,next_paint,maint_by,ToStatePla,to_Zone,Y,X
0,1.000000000000000,1.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITONL BUILDING GROUNDS WALKWAY NEAR FIRST ST NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M100R MVR100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891551999999997,-77.006276000000000, ,,,,HV,1900.000000000000000,1900.000000000000000,135967.524999999990000,399455.531000000020000
1,2.000000000000000,2.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITONL BUILDING GROUNDS WALKWAY NEAR FIRST ST NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891401999999999,-77.006456999999997, ,,,,HV,1900.000000000000000,1900.000000000000000,135950.875000000000000,399439.826999999990000
2,3.000000000000000,3.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING GROUNDS WALKWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891531000000001,-77.006645000000006, ,,,,HV,1900.000000000000000,1900.000000000000000,135965.196000000000000,399423.518999999970000
3,4.000000000000000,5.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING GROUNDS WALKWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M100R MVR100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891795999999999,-77.006572000000006, ,,,,HV,1900.000000000000000,1900.000000000000000,135994.613000000010000,399429.853999999990000
4,5.000000000000000,6.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING GROUNDS WALKWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891421000000001,-77.007070999999996, ,,,,HV,1900.000000000000000,1900.000000000000000,135952.988000000010000,399386.560000000000000
5,6.000000000000000,8.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING GROUNDS WALKWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891519000000002,-77.007446999999999, ,,,,HV,1900.000000000000000,1900.000000000000000,135963.870000000000000,399353.941999999980000
6,7.000000000000000,9.000000000000000,0.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING GROUNDS WALKWAY - CONSTITUTION AVE NE, ,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,8.000000000000000, ,NONE,38.891857000000002,-77.005054000000001, ,,,,HV,1900.000000000000000,1900.000000000000000,136001.375999999990000,399561.547000000020000
7,8.000000000000000,10.000000000000000,2.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING ENTRANCE DRIVEWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,150.000000000000000,METAL HALIDE,M150 C/L M102/U,POLE, ,15.000000000000000,GREEN,NONE,38.891545000000001,-77.008161000000001, ,,,,HV,1900.000000000000000,1900.000000000000000,135966.761000000000000,399291.999000000010000
8,9.000000000000000,11.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING ENTRANCE DRIVEWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891365999999998,-77.008144999999999, ,,,,HV,1900.000000000000000,1900.000000000000000,135946.890000000010000,399293.386000000000000
9,10.000000000000000,12.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING GROUNDS WALKWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891351999999998,-77.007729999999995, ,,,,HV,1900.000000000000000,1900.000000000000000,135945.333000000010000,399329.389000000020000
10,11.000000000000000,14.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL BUILDING ENTRANCE DRIVEWAY - CONSTITUTION AVE NE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M100R MVR100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.891112999999997,-77.008049999999997, ,,,,HV,1900.000000000000000,1900.000000000000000,135918.804999999990000,399301.625000000000000
11,12.000000000000000,45.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL GROUNDS WALKWAY - INDEPENDENCE AVE SE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M100R MVR100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.888159000000002,-77.006529000000000, ,,,,HV,1900.000000000000000,1900.000000000000000,135590.877000000010000,399433.554999999990000
12,13.000000000000000,46.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL GROUNDS WALKWAY - INDEPENDENCE AVE SE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M100R MVR100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.887886999999999,-77.006732000000000, ,,,,HV,1900.000000000000000,1900.000000000000000,135560.684000000010000,399415.940999999990000
13,14.000000000000000,47.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL GROUNDS WALKWAY - INDEPENDENCE AVE SE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M100R MVR100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.888218999999999,-77.007113000000004, ,,,,HV,1900.000000000000000,1900.000000000000000,135597.541000000000000,399382.889000000020000
14,15.000000000000000,48.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL GROUNDS WALKWAY - INDEPENDENCE AVE SE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M90R MP100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.888292000000000,-77.007734999999997, ,,,,HV,1900.000000000000000,1900.000000000000000,135605.649000000000000,399328.925999999980000
15,16.000000000000000,57.000000000000000,1.000000000000000,ACORN STYLE POST TOP MOUNTED STREET LIGHT,Capitol Hill,CAPITOL GROUNDS WALKWAY - INDEPENDENCE AVE SE,ACORN,1.000000000000000,100.000000000000000,METAL HALIDE,M100R MVR100/U/MED,POLE, ,10.000000000000000,GREEN,NONE,38.888565000000000,-77.008111999999997, ,,,,HV,1900.000000000000000,1900.000000000000000,135635.956999999990000,399296.221000000020000
